date,dailyPuzzle,numberOfGames,studying,notes
2024-07-24,true,1,false,
2024-07-25,true,1,false,
2024-07-26,true,0,true,Openings
2024-07-28,true,,,
2024-08-01,true,,,
2024-08-02,true,,,
2024-08-03,true,3,,"<br><br>
Game 1: <br>
https://www.chess.com/game/live/108542810688
<br> 
Game 2: <br>
https://www.chess.com/game/live/108542983844
<br>
Game 3: <br>
https://www.chess.com/game/live/108543139140
<br>"
2024-08-04,true,,,
2024-08-05,true,,,
2024-08-06,true,,,
2024-08-07,true,,,
2024-08-08,true,1,,"<br><br>
Game: https://www.chess.com/game/live/108614563182"
2024-08-09,true,1,,"<br><br>
Game: https://www.chess.com/game/108636634324"
2024-08-10,true,1,,"<br><br>
Game: https://www.chess.com/game/live/108651886942"
2024-08-11,true,0,,""
2024-08-12,true,1,,"<br><br>
https://www.chess.com/game/live/108689137790"
2024-08-13,true,1,,"<br><br>
https://www.chess.com/game/live/108697450874"
2024-08-14,true,1,,"<br><br>
https://www.chess.com/game/live/108721400622"
2024-08-15,true,1,,"<br><br>
https://www.chess.com/game/live/108732787032"
2024-08-16,true,2,,"<br><br>
Game 1: https://www.chess.com/game/live/108756072334
<br><br>
Game 2: https://www.chess.com/game/live/108756267590"
2024-08-17,true,,,
2024-08-18,true,2,,"<br><br>
Game 1: https://www.chess.com/game/live/108790134066
<br><br>
Game 2: https://www.chess.com/game/live/108790348164"
2024-08-19,true,2,,"<br><br>
Game 1: https://www.chess.com/analysis/game/live/108809305182
<br><br>
Game 2: https://www.chess.com/game/live/108790348164"
2024-08-20,true,2,,"<br><br>
Game 1: https://www.chess.com/game/live/108827447366
<br><br> 
Game 2: https://www.chess.com/game/live/108827518190"
2024-08-21,true,3,,"<br><br>
Game 1: https://www.chess.com/game/live/118024165771
<br><br>
Game 2: https://www.chess.com/game/live/118024784397
<br><br>
Game 3: https://www.chess.com/game/live/118025972519
<br><br>"
2024-08-22,true,
2024-08-23,true,
2024-08-24,true,
2024-08-25,true,
2024-08-26,true,
2024-08-27,true,
2024-08-28,true,
2024-08-29,true,
2024-08-30,true,
2024-08-31,true,
2024-09-01,true,
2024-09-02,true,
2024-09-03,true,
2024-11-24,true,
2024-11-25,true,
2024-11-26,true,
2024-11-27,true,
2024-11-28,true,
2024-11-29,true,
2024-11-30,true,
2024-12-01,true,1,,"<br><br>
Game 1: https://www.chess.com/game/live/121213284434"
2024-12-02,true,0,,
2024-12-03,true,1,,
2024-12-04,true,0,,
2024-12-05,true,0,,
2024-12-06,true,0,,
2024-12-07,true,0,,
2024-12-08,true,0,,
2024-12-09,true,0,,
2024-12-10,true,0,,
2024-12-11,true,0,,
2024-12-13,true,0,,
2024-12-14,true,0,,
2024-12-15,true,0,,
2024-12-16,true,0,,
2024-12-17,true,0,,
2024-12-18,true,0,,
2024-12-19,true,0,,
2024-12-20,true,0,,
2024-12-21,true,0,,
2024-12-22,true,0,,
2024-12-23,true,0,,
2024-12-24,true,0,,
2024-12-25,true,0,,
2024-12-27,true,0,,
2024-12-28,true,0,,
2024-12-29,true,0,,
2024-12-29,true,0,,
2024-12-30,true,0,,
2024-12-31,true,0,,
2025-01-01,true,1,,"<br><br>
Game 1: https://www.chess.com/game/live/121860722080"
2025-01-02,true,0,,
2025-01-03,true,0,,
2025-01-04,true,0,,
2025-01-05,true,0,,
2025-01-06,true,0,,
2025-01-07,true,0,,
2025-01-08,true,0,,
2025-01-11,true,0,,
2025-01-12,true,0,,
2025-01-13,true,0,,
2025-01-14,true,0,,
2025-01-15,true,0,,
2025-01-16,true,0,,
2025-01-17,true,0,,
2025-01-18,true,0,,
2025-01-19,true,0,,
2025-01-20,true,0,,
2025-01-21,true,0,,
2025-01-22,true,0,,
2025-01-23,true,0,,
2025-01-24,true,0,,
